"STATION","NAME","DATE","ACMH","ACSH","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-31","   60","   80","8.95","0.00","0.0","0.0",,"89","76",,,,,"    1",,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-01","   90","   80","8.28","0.00","0.0","0.0",,"89","72",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-02","   60","   70","7.38","0.00","0.0","0.0",,"88","74",,,,,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-03","   40","   50","6.93","0.22","0.0","0.0",,"93","72",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-04","   50","   60","10.29","0.05","0.0","0.0",,"95","74",,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-05","   60","   70","10.29","0.00","0.0","0.0",,"90","76",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-06","   50","   70","11.18","0.00","0.0","0.0",,"87","70",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-07","   60","   60","10.29","0.00","0.0","0.0",,"79","63",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-08","   40","   40","7.38","0.00","0.0","0.0",,"83","60",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-09","   10","   20","6.49","0.00","0.0","0.0",,"86","63",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-10","   20","   30","3.80","0.00","0.0","0.0",,"89","64",,,"    1",,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-11","   40","   50","4.47","0.00","0.0","0.0",,"92","66",,,"    1",,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-12","   90","   90","6.49","0.00","0.0","0.0",,"91","73",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-13","  100","  100","6.04","0.81","0.0","0.0",,"82","72",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-14","   60","   70","4.92","0.00","0.0","0.0",,"88","71",,,"    1",,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-15","   60","   60","4.03","0.00","0.0","0.0",,"92","71",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-16","   50","   40","4.92","0.00","0.0","0.0",,"94","75",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-17","    0","   10","5.59","0.00","0.0","0.0",,"95","76",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-18","   10","    0","4.92","0.00","0.0","0.0",,"97","77",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-19","   10","   20","6.04","0.00","0.0","0.0",,"97","75",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-20","   30","   40","4.70","0.00","0.0","0.0",,"98","78",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-21","   20","   20","7.61","0.00","0.0","0.0",,"95","77",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-22","   40","   50","8.05","0.00","0.0","0.0",,"90","75",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-08-23","   30","   50","6.26","0.00","0.0","0.0",,"91","72",,,"    1",,,,,,,"    1",,,,,,,,,,
