STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV20
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-25,10,20,,,,,,1042,0,87,0,0,,80,59,,570,290,,,270,,,15,,,18.3,,,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-26,20,20,,,,,,1412,0,85,0,0,,81,58,,564,300,,,315,,,8.1,,,12.8,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-27,70,70,,,,,,1324,0.07,37,0,0,,79,53,,240,360,,,225,,,17,,,28.9,,1,,,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-28,50,70,,,,,,1554,0.24,32,0,0,,58,43,,210,300,,,315,,,21,,,30,,,,1,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-29,40,80,,,,,,830,0,28,0,0,,55,40,,180,320,,,315,,,15,,,21.9,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-30,60,70,,,,,,1318,0,66,0,0,,65,38,,426,140,,,270,,,8.9,,,15,,,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-31,40,80,,,,,,1336,0.46,26,0,0,,62,49,,168,300,,,315,,,25.1,,,34.4,,1,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-01,0,0,,,,,,1330,0,100,0,0,,72,44,,648,180,,,180,,,23,,,33.3,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-02,80,90,,,,,,518,0,1,0,0,,73,57,,12,210,,,180,,,21,,,34.4,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-03,100,100,,,,,,6,0,0,0,0,,62,56,,0,40,,,360,,,13,,,20.8,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-04,100,100,,,,,,1154,0.68,0,0,0,,67,53,,0,350,,,270,,,15,,,24.2,,1,1,,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-05,70,90,,,,,,218,0.03,4,0,0,,53,40,,24,20,,,360,,,16.1,,,26.4,,1,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-06,40,30,,,,,,1130,0,97,0,0,,57,35,,612,80,,,360,,,15,,,20.8,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-07,90,80,,,,,,2024,0,72,0,0,,63,48,,456,160,,,180,,,8.1,,,11.4,,,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-08,100,100,,,,,,2354,0.65,0,0,0,,59,54,,0,50,,,45,,,16.1,,,21.9,,1,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-09,40,30,,,,,,1218,0,86,0,0,,55,38,,546,20,,,360,,,19.9,,,27.5,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-10,0,0,,,,,,812,0,100,0,0,,49,31,,630,50,,,45,,,14.1,,,20.8,,,,,,,,,,,,,,,,,,,,,,
